Charge/Discharge [mAh],OCV [V],OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
0,0.0063578,0.0073345,3.3139,0.14071,0.13746,2,382.06,2.1495,4.1345,2.6422,0.38664,0.38664,3.3139,0.13315,0.13315,3.3184,0.13616,0.13616,3.3033,0.12683,0.12683
-0.039406,0.044042,0.046332,-10.271,0.29417,1.1043,3,-7334.4,-10.078,0.39544,-11.021,0.35467,0.35467,-10.402,0.41888,0.41888,-10.271,0.29417,0.29417,-10.645,0.35989,0.35989
-0.078812,0.070426,0.070438,-13.527,0.71625,0.97568,2,-10858,-13.128,1.3959,-14.145,0.35766,0.35766,-13.527,0.043063,0.043063,-13.461,0.54318,0.54318,-13.377,0.56623,0.56623
-0.11822,0.08171,0.071178,-10.104,1.2787,1.217,3,-10918,-9.4167,1.9284,-11.024,0.29707,0.29707,-10.263,0.20778,0.20778,-10.104,0.59663,0.59663,-9.8498,1.0247,1.0247
-0.15763,0.086298,0.067944,-7.5349,0.68348,1.1882,3,-10589,-6.2097,3.594,-8.6616,0.28483,0.28483,-8.1199,0.60324,0.60324,-7.5349,0.68348,0.68348,-6.5769,0.15983,0.15983
-0.19703,0.088341,0.062945,-6.7089,0.84611,0.84611,3,-10538,-4.7964,5.2807,-7.9218,0.34534,0.34534,-7.6824,0.81652,0.81652,-6.7089,0.84611,0.84611,-4.9607,0.19769,0.19769
-0.23644,0.089503,0.05963,-6.1817,0.96696,0.96696,3,-10492,-3.8652,6.3373,-7.4398,0.3763,0.3763,-7.4027,0.93217,0.93217,-6.1817,0.96696,0.96696,-3.9242,0.19403,0.19403
-0.27585,0.090266,0.057646,-5.7179,1.002,1.002,3,-10426,-3.1234,6.9982,-7.0324,0.3548,0.3548,-7.0776,1.0603,1.0603,-5.7179,1.002,1.002,-3.1426,0.17206,0.17206
-0.31525,0.090798,0.056013,-5.5404,1.1445,1.1445,3,-10424,-2.7108,7.6827,-6.9256,0.46067,0.46067,-7.0285,1.0528,1.0528,-5.5404,1.1445,1.1445,-2.7163,0.24736,0.24736
-0.35466,0.091189,0.054997,-5.2825,1.2556,1.2556,3,-10385,-2.219,8.1056,-6.7591,0.59517,0.59517,-6.8753,1.0249,1.0249,-5.2825,1.2556,1.2556,-2.256,0.3419,0.3419
-0.39407,0.091513,0.053884,-4.9738,1.1948,1.1948,3,-10323,-1.7428,8.4647,-6.547,0.47999,0.47999,-6.6228,1.2402,1.2402,-4.9738,1.1948,1.1948,-1.7967,0.26144,0.26144
-0.43347,0.091785,0.053258,-4.7951,1.1663,1.1663,3,-10296,-1.4621,8.8749,-6.489,0.4587,0.4587,-6.5234,1.3684,1.3684,-4.7951,1.1663,1.1663,-1.4993,0.20139,0.20139
-0.47288,0.092034,0.05206,-4.4795,1.3016,1.3016,3,-10225,-1.023,9.2501,-6.2974,0.51875,0.51875,-6.2803,1.4079,1.4079,-4.4795,1.3016,1.3016,-1.0847,0.25472,0.25472
-0.51228,0.092258,0.051229,-4.1133,1.4597,1.4597,3,-10137,-0.57928,9.584,-6.1101,0.61463,0.61463,-5.9693,1.4332,1.4332,-4.1133,1.4597,1.4597,-0.68255,0.33148,0.33148
