Charge/Discharge [mAh],OCV [V],OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
0,4.3585,4.3121,-14.132,2.6748,2.6748,2,-424670,23.683,138.21,16.127,6.5535,6.5535,-14.132,2.6748,2.6748,-11.933,3.9917,3.9917,77.418,5.0368,5.0368
0.023992,4.2196,4.2576,12.666,2.036,2.036,3,-403420,2.8928,13.766,22.314,4.6417,4.6417,13.547,0.039805,0.039805,12.666,2.036,2.036,15.314,2.9386,2.9386
0.047985,4.1852,4.1862,14.923,3.817,1.9804,4,-399440,0.77888,23.355,17.243,2.725,2.725,15.841,2.8987,2.8987,12.38,1.4844,1.4844,14.923,0.44989,0.44989
0.071977,4.166,4.167,15.135,4.3401,1.9855,4,-397520,3.7517,21.992,15.889,1.4687,1.4687,16.312,3.1628,3.1628,12.742,0.95055,0.95055,15.135,0.43972,0.43972
0.095971,4.1531,4.154,13.515,3.5171,1.3585,4,-396750,3.2808,19.02,13.545,1.0205,1.0205,14.594,2.4378,2.4378,11.442,0.96982,0.96982,13.515,0.42293,0.42293
0.11996,4.1439,4.2424,10.543,0.78049,0.78049,3,-396740,3.9268,16.235,12.016,0.67009,0.67009,13.235,2.0255,2.0255,10.543,0.78049,0.78049,12.298,0.45725,0.45725
0.14396,4.1373,4.2206,8.7223,0.68185,0.68185,3,-396630,3.6279,13.237,9.8124,0.42955,0.42955,10.991,1.6144,1.6144,8.7223,0.68185,0.68185,10.211,0.42585,0.42585
0.16795,4.1325,4.1979,6.4486,0.40675,0.40675,3,-396830,2.3661,10.501,7.3677,0.19403,0.19403,8.264,1.4572,1.4572,6.4486,0.40675,0.40675,7.6464,0.49762,0.49762
0.19195,4.129,4.1894,1.9464,0.72174,0.72174,3,-397810,-1.1208,8.4064,3.0658,0.16694,0.16694,3.6002,1.3057,1.3057,1.9464,0.72174,0.72174,3.1118,0.4502,0.4502
0.21594,4.1261,4.1856,-1.4423,0.68355,0.68355,3,-398530,-4.6735,9.0558,-0.38966,0.32256,0.32256,0.19622,1.2063,1.2063,-1.4423,0.68355,0.68355,-0.31378,0.31732,0.31732
0.23993,4.1233,4.1261,-2.3935,0.74465,0.3202,1,-398540,-7.3926,10.307,-2.3935,0.17707,0.17707,-1.5678,1.5133,1.5133,-3.5626,0.75459,0.75459,-2.1813,0.53243,0.53243
0.26392,4.1203,4.1236,-5.111,0.91793,0.25699,1,-399040,-10.769,12.616,-5.111,0.25699,0.25699,-4.0126,1.6689,1.6689,-6.3531,0.92679,0.92679,-4.7427,0.54962,0.54962
0.28792,4.1167,4.1207,-7.3064,1.2149,0.25769,1,-399350,-13.953,14.935,-7.3064,0.25769,0.25769,-5.8778,1.9699,1.9699,-8.5958,0.84469,0.84469,-6.7653,0.67379,0.67379
0.31191,4.1125,4.1171,-9.3247,1.5144,0.23257,1,-399530,-17.104,17.636,-9.3247,0.2266,0.2266,-7.6374,2.4035,2.4035,-10.97,1.1931,1.1931,-8.6838,0.8735,0.8735
0.3359,4.1072,4.1126,-11.333,1.8214,0.28719,1,-399610,-20.34,20.612,-11.333,0.22987,0.22987,-9.3527,2.8444,2.8444,-13.171,1.2523,1.2523,-10.565,1.0543,1.0543
0.3599,4.1006,4.1069,-12.926,2.0787,0.332,1,-399440,-23.543,23.439,-12.926,0.25536,0.25536,-10.653,3.2394,3.2394,-15.058,1.4266,1.4266,-12.052,1.2054,1.2054
0.38389,4.0922,4.0992,-13.132,2.4597,0.44471,1,-398680,-24.927,26.576,-13.132,0.20033,0.20033,-10.527,3.7537,3.7537,-15.483,1.388,1.388,-12.125,1.4522,1.4522
0.40789,4.0814,4.089,-11.129,2.2597,0.56535,1,-397060,-24.758,28.462,-11.129,0.56535,0.56535,-8.3928,3.6851,3.6851,-13.602,1.7676,1.7676,-10.08,1.2108,1.2108
0.43188,4.0684,4.076,-6.7039,0.46984,0.46984,1,-394510,-19.63,28.742,-6.7039,0.46984,0.46984,-4.0533,3.8931,3.8931,-9.0967,1.3633,1.3633,-5.7299,1.353,1.353
0.45587,4.0543,4.0612,-1.6746,0.76454,0.76454,1,-391670,-13.568,25.959,-1.6746,0.76454,0.76454,0.56681,3.2965,3.2965,-4.0065,1.6034,1.6034,-0.9348,0.9334,0.9334
0.47987,4.0405,4.1817,0.7847,1.0676,1.0676,3,-389620,-9.4657,20.789,2.6621,0.53112,0.53112,4.375,2.7341,2.7341,0.7847,1.0676,1.0676,3.1802,0.83541,0.83541
0.50386,4.0284,4.1344,4.4418,0.57561,0.57561,3,-387380,-2.1201,17.208,6.0506,0.30481,0.30481,7.373,2.5301,2.5301,4.4418,0.57561,0.57561,6.378,0.88107,0.88107
0.52785,4.0188,4.0195,6.9231,0.43811,0.66064,4,-385730,0.44623,12.972,6.7616,0.4991,0.4991,7.6933,1.7357,1.7357,5.3145,0.86808,0.86808,6.9231,0.43811,0.43811
0.55184,4.0115,4.0892,2.8641,0.99737,0.99737,3,-386210,-0.81304,12.456,4.2281,0.61217,0.61217,5.1098,1.5489,1.5489,2.8641,0.99737,0.99737,4.3908,0.28964,0.28964
0.57584,4.0052,4.0855,0.40145,0.7283,0.7283,3,-386330,-5.2027,12.746,1.472,0.56125,0.56125,2.5749,1.4804,1.4804,0.40145,0.7283,0.7283,1.818,0.2931,0.2931
0.59983,3.9993,4.0031,-0.94111,0.51367,0.51367,1,-386150,-7.7203,14.239,-0.94111,0.51367,0.51367,0.41722,1.624,1.624,-2.0855,0.919,0.919,-0.42589,0.37951,0.37951
0.62383,3.9933,3.9973,-3.1151,0.42961,0.42961,1,-386200,-10.061,15.512,-3.1151,0.42961,0.42961,-1.5301,1.803,1.803,-4.3193,1.0316,1.0316,-2.4498,0.50081,0.50081
0.64782,3.987,3.9879,-4.4655,0.51929,0.51929,4,-386000,-12.447,16.262,-5.2493,0.4218,0.4218,-3.5111,1.8432,1.8432,-6.4332,1.1396,1.1396,-4.4655,0.51929,0.51929
0.67181,3.9806,4.0918,-7.816,0.67703,0.67703,3,-386360,-14.171,17.112,-6.7066,0.12594,0.12594,-4.8761,2.2116,2.2116,-7.816,0.67703,0.67703,-5.8723,0.84368,0.84368
0.69581,3.9737,4.0947,-9.7979,1.0436,1.0436,3,-386280,-16.227,17.821,-8.5773,0.2323,0.2323,-6.5901,2.1842,2.1842,-9.7979,1.0436,1.0436,-7.6391,0.76846,0.76846
0.7198,3.9664,4.0853,-11.11,1.4991,0.88407,3,-385960,-18.098,18.47,-10.052,0.44144,0.44144,-7.9915,2.0744,2.0744,-11.11,0.88407,0.88407,-9.086,0.59962,0.59962
0.74379,3.9585,4.0946,-13.581,1.3933,1.3933,3,-385920,-20.9,20.294,-12.209,0.54142,0.54142,-9.9727,2.2185,2.2185,-13.581,1.3933,1.3933,-11.163,0.60233,0.60233
0.76779,3.9497,3.9509,-13.196,0.44129,2.0352,4,-384960,-23.188,23.094,-14.38,0.85082,0.85082,-11.864,2.2658,2.2658,-15.947,1.8969,1.8969,-13.196,0.44129,0.44129
0.79178,3.9396,4.1124,-17.635,2.0215,1.2999,3,-385290,-27.164,25.3,-15.91,0.296,0.296,-13.133,3.188,3.188,-17.635,1.2999,1.2999,-14.628,1.1487,1.1487
