Charge/Discharge [mAh],OCV [V],OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
0,1.4366,1.4167,-33.062,3.0093,3.0093,2,-1.49E+05,70.174,279.77,8.1775,6.47,6.47,-33.062,3.0093,3.0093,-20.955,6.1223,6.1223,128.59,9.5784,9.5784
0.038771,0.52727,0.53032,48.446,8.0939,4.1533,4,-36323,23.58,49.907,45.183,0.88985,0.88985,51.287,5.2538,5.2538,43.27,2.1306,2.1306,48.446,1.6141,1.6141
0.077542,0.36995,0.53337,37.988,3.7768,0.59849,3,-24284,27.419,28.049,37.978,0.29296,0.29296,42.038,2.6936,2.6936,37.988,0.59849,0.59849,40.588,1.1767,1.1767
0.11631,0.27685,0.40064,35.764,4.2303,0.92367,3,-15973,28.585,20.442,35.209,0.3693,0.3693,38.56,1.4337,1.4337,35.764,0.60241,0.60241,37.613,0.62085,0.62085
0.15508,0.21745,0.33084,26.65,3.5907,2.4691,3,-12978,21.729,16.758,25.801,1.6202,1.6202,28.662,1.5787,1.5787,26.65,0.27004,0.27004,28.129,1.2477,1.2477
0.19385,0.21181,0.21261,11.171,2.6634,2.4174,4,-17083,6.7368,11.267,10.055,1.302,1.302,11.721,2.113,2.113,10.783,1.5075,1.5075,11.171,1.582,1.582
0.23263,0.20975,0.25798,9.3909,2.2627,0.90264,3,-17418,5.8978,10.25,9.5634,0.95621,0.95621,10.795,2.086,2.086,9.3909,0.90264,0.90264,10.237,1.4162,1.4162
0.2714,0.20566,0.25327,8.5508,1.0862,0.65779,3,-17276,5.4227,9.5385,8.8385,0.79844,0.79844,9.9632,1.9072,1.9072,8.5508,0.65779,0.65779,9.4347,1.2533,1.2533
0.31017,0.19738,0.24571,7.3949,0.13019,0.13019,3,-16824,4.9577,7.664,8.1453,0.51844,0.51844,8.8746,1.5955,1.5955,7.3949,0.13019,0.13019,8.4339,0.97015,0.97015
0.34894,0.18516,0.18689,7.0012,2.0122,0.93537,1,-15763,4.0343,6.9134,7.0012,0.42048,0.42048,7.5396,1.4738,1.4738,6.1793,0.25459,0.25459,7.1453,0.8642,0.8642
0.38771,0.17268,0.1744,5.5651,1.8173,1.1289,1,-14990,2.5355,6.7066,5.5651,0.32579,0.32579,5.9093,1.4731,1.4731,4.5993,0.35208,0.35208,5.5411,0.8066,0.8066
0.42648,0.16004,0.19737,3.0387,0.040103,0.040103,3,-14529,1.0656,6.4627,3.5333,0.33884,0.33884,4.2017,1.192,1.192,3.0387,0.040103,0.040103,3.8345,0.69455,0.69455
0.46525,0.15069,0.15223,2.7774,0.88898,0.72531,1,-13705,0.052291,6.0007,2.7774,0.39713,0.39713,3.2017,1.3735,1.3735,2.0621,0.021657,0.021657,2.8592,0.80715,0.80715
0.50402,0.14068,0.17372,0.0072452,0.1714,0.1714,3,-13572,-2.1287,6.1089,0.41856,0.35271,0.35271,1.0428,1.1982,1.1982,0.0072452,0.1714,0.1714,0.68971,0.70554,0.70554
0.54279,0.13245,0.17358,-0.020979,0.39921,0.39921,3,-12786,-2.7121,6.6328,1.3875,0.0061063,0.0061063,1.2288,1.441,1.441,-0.020979,0.39921,0.39921,0.9249,0.58404,0.58404
0.58156,0.13132,0.13176,0.0026844,0.58718,0.58718,4,-12670,-5.8657,10.377,0.98206,0.39859,0.39859,0.42637,2.0279,2.0279,-1.4065,0.53576,0.53576,0.0026844,0.58718,0.58718
0.62033,0.12769,0.18111,-3.6059,0.15582,0.15582,3,-13404,-7.5015,9.5576,-2.2114,0.21124,0.21124,-1.9595,2.074,2.074,-3.6059,0.15582,0.15582,-2.4736,0.98629,0.98629
0.6591,0.12695,0.13167,-7.2931,1.1306,1.49,1,-14440,-15.743,18.554,-7.2931,0.43521,0.43521,-5.369,3.0175,3.0175,-7.4728,1.3103,1.3103,-6.4573,1.5107,1.5107
