Charge/Discharge [mAh],OCV [V],OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
0,4.3047,4.296,18.133,1.898,1.0568,2,-410020,26.072,29.339,24.602,0.7927,0.7927,18.133,1.0568,1.0568,18.654,1.377,1.377,37.741,0.38346,0.38346
0.034475,4.245,4.2238,13.398,0.82017,0.82017,2,-405650,13.947,3.9859,13.836,0.2397,0.2397,13.398,0.82017,0.82017,13.4,0.31115,0.31115,15.414,0.25984,0.25984
0.068949,4.221,4.2096,10.842,3.0824,3.0824,2,-404080,10.663,2.0069,11.079,0.35037,0.35037,10.842,3.0824,3.0824,10.842,0.11937,0.11937,11.797,0.3376,0.3376
0.10342,4.205,4.2049,8.9231,0.49742,0.36594,1,-403110,8.4421,1.218,8.9231,0.11131,0.11131,8.7641,0.20657,0.20657,8.7639,0.20668,0.20668,9.2837,0.13685,0.13685
0.1379,4.1929,4.1846,6.5969,0.78822,0.028251,3,-402620,6.7482,0.78075,7.2489,0.1362,0.1362,7.1316,0.1101,0.1101,6.5969,0.028251,0.028251,7.4225,0.10676,0.10676
0.17237,4.1829,4.1774,5.0267,0.51757,0.084084,3,-402110,4.9714,0.50942,5.6578,0.014176,0.014176,5.5068,0.03746,0.03746,5.0267,0.084084,0.084084,5.6956,0.019409,0.019409
0.20685,4.1743,4.1707,3.5189,0.4179,0.30053,3,-401730,3.5899,0.16191,4.1147,0.23327,0.23327,3.7555,0.18127,0.18127,3.5189,0.30053,0.30053,4.0514,0.26811,0.26811
0.24132,4.1666,4.164,2.3019,0.16532,0.068669,3,-401340,2.0923,0.27796,2.9159,0.01192,0.01192,2.4257,0.041572,0.041572,2.3019,0.068669,0.068669,2.7818,0.050563,0.050563
0.2758,4.1595,4.1587,0.53577,0.079885,0.022078,3,-401180,0.5262,0.089089,1.1125,0.016181,0.016181,0.56467,0.050981,0.050981,0.53577,0.019373,0.019373,0.91659,0.022137,0.022137
0.31027,4.1529,4.1525,-0.99857,0.28045,0.25839,3,-400990,-1.0085,0.17122,-0.41555,0.25559,0.25559,-0.98754,0.26942,0.26942,-0.99857,0.2489,0.2489,-0.64435,0.21465,0.21465
