Charge/Discharge [mAh],OCV [V],OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
0,4.3359,4.3115,-32.55,5.8925,5.8925,2,-427890,72.711,298.63,28.485,0.81341,0.81341,-32.55,5.8925,5.8925,-24.297,11.22,11.22,174.56,4.0589,4.0589
0.023066,4.2016,4.1909,8.339,1.8171,2.2569,3,-402950,0.44097,8.3338,16.835,4.853,4.853,8.1191,2.037,2.037,8.339,1.4533,1.4533,10.404,3.8072,3.8072
0.046131,4.1681,4.169,11.317,3.452,1.8676,4,-398840,-1.0752,20.691,13.457,2.3836,2.3836,12.109,2.6598,2.6598,9.027,1.3119,1.3119,11.317,0.35296,0.35296
0.069196,4.1495,4.1504,12.03,3.8654,1.6018,4,-396840,0.7762,20.878,12.65,1.4731,1.4731,13.162,2.7336,2.7336,9.6091,1.3407,1.3407,12.03,0.27628,0.27628
0.092261,4.1375,4.1385,11.598,3.7521,1.517,4,-395810,1.7205,19.342,11.388,0.6846,0.6846,12.715,2.6345,2.6345,9.4391,0.84584,0.84584,11.598,0.70415,0.70415
0.11533,4.1297,4.2305,7.1084,0.96873,0.96873,3,-396370,1.1194,15.978,8.2823,0.59884,0.59884,9.8566,1.7452,1.7452,7.1084,0.96873,0.96873,8.9096,0.37931,0.37931
0.13839,4.125,4.2005,2.389,0.65851,0.65851,3,-397300,-1.8889,11.17,3.5176,0.17253,0.17253,4.4558,1.5992,1.5992,2.389,0.65851,0.65851,3.7989,0.57013,0.57013
0.16146,4.1224,4.1908,-1.2211,0.57816,0.57816,3,-398110,-5.1189,10.219,0.091055,0.14458,0.14458,0.68284,1.6586,1.6586,-1.2211,0.57816,0.57816,0.10061,0.61039,0.61039
0.18452,4.1204,4.121,-2.5195,0.56503,0.56503,4,-398300,-8.0866,11.353,-2.5127,0.28025,0.28025,-1.8692,1.7361,1.7361,-4.0182,0.79861,0.79861,-2.5195,0.56503,0.56503
0.20759,4.1183,4.2035,-5.966,0.93491,0.93491,3,-399110,-10.857,13.008,-4.4735,0.50352,0.50352,-3.6329,1.729,1.729,-5.966,0.93491,0.93491,-4.3689,0.42957,0.42957
